# Experimental dG, SQM2.20 acore and its components (in kcal/mol)
Target	Ligand	dG_experiment	Score	dG_int	dG_conf(L)	dG_H+	-TS
008-Trypsin	5MO2	-5.25	-23.04	-28.28	4.25	0.00	0.99
008-Trypsin	6SY3	-4.26	6.64	-11.12	4.25	11.69	1.82
008-Trypsin	6T0M	-5.69	-15.32	-35.24	6.32	12.06	1.55
008-Trypsin	6T0P	-6.04	-14.51	-33.60	6.58	10.96	1.55
008-Trypsin	6T5W	-5.96	-15.87	-33.06	4.02	11.41	1.75
009-CDK2	3QQK	-7.04	-22.77	-26.28	1.90	0.00	1.61
009-CDK2	3QTQ	-7.98	-23.69	-28.50	2.56	0.00	2.26
009-CDK2	3QTR	-8.69	-22.29	-27.31	3.51	0.00	1.52
009-CDK2	3QTS	-7.98	-18.75	-26.47	5.43	0.00	2.29
009-CDK2	3QTU	-10.24	-36.46	-46.88	8.70	0.00	1.72
009-CDK2	3QTW	-8.91	-25.44	-30.40	3.47	0.00	1.48
009-CDK2	3QTX	-10.24	-32.33	-37.83	3.74	0.00	1.76
009-CDK2	3QTZ	-10.44	-25.18	-31.43	4.65	0.00	1.61
009-CDK2	3QU0	-10.98	-26.84	-33.48	5.03	0.00	1.61
009-CDK2	3QXP	-10.98	-26.83	-36.45	7.90	0.00	1.72
009-CDK2	3R8U	-7.69	-22.86	-29.15	4.00	0.00	2.29
009-CDK2	3R8V	-8.02	-18.03	-26.82	6.39	0.00	2.40
009-CDK2	3R8Z	-6.33	-19.40	-23.51	2.47	0.00	1.65
009-CDK2	3R9D	-6.11	-14.84	-21.85	5.50	0.00	1.51
009-CDK2	3R9N	-8.45	-19.00	-26.60	5.98	0.00	1.62
009-CDK2	3RAH	-7.17	-18.11	-25.70	6.10	0.00	1.49
009-CDK2	3RAK	-9.87	-23.96	-30.31	4.71	0.00	1.65
009-CDK2	3RAL	-10.02	-29.23	-39.83	8.20	0.00	2.40
009-CDK2	3RJC	-7.61	-21.49	-26.27	3.31	0.00	1.48
009-CDK2	3RK5	-7.82	-16.57	-21.95	3.91	0.00	1.48
009-CDK2	3RK7	-9.61	-25.05	-30.98	4.56	0.00	1.37
009-CDK2	3RK9	-9.04	-25.64	-32.21	4.06	0.00	2.51
009-CDK2	3RKB	-9.23	-25.73	-30.73	3.55	0.00	1.45
009-CDK2	3RMF	-6.02	-19.59	-29.44	8.25	0.00	1.61
009-CDK2	3RNI	-7.52	-17.24	-23.82	4.98	0.00	1.61
009-CDK2	3RPV	-10.24	-27.40	-34.36	5.44	0.00	1.52
009-CDK2	3RPY	-7.71	-20.48	-26.67	4.78	0.00	1.41
009-CDK2	3S00	-7.17	-20.74	-26.91	3.91	0.00	2.25
009-CDK2	3S0O	-6.57	-17.73	-25.90	6.59	0.00	1.57
009-CDK2	3S1H	-6.96	-19.27	-27.29	5.62	0.00	2.40
009-CDK2	3SQQ	-7.71	-24.93	-34.83	7.65	0.00	2.25
010-MMP12	3EHX	-10.38	-26.02	-51.05	12.92	9.32	2.79
010-MMP12	3EHY	-7.99	-15.60	-38.78	7.25	13.35	2.58
010-MMP12	3F15	-11.06	-28.42	-39.16	8.34	0.00	2.40
010-MMP12	3F16	-11.24	-29.34	-39.06	7.53	0.00	2.19
010-MMP12	3F17	-11.78	-37.15	-46.30	7.58	0.00	1.56
010-MMP12	3F18	-10.11	-32.71	-42.50	8.25	0.00	1.54
010-MMP12	3F19	-9.81	-32.67	-38.31	4.19	0.00	1.45
010-MMP12	3F1A	-9.85	-32.33	-39.07	5.28	0.00	1.45
010-MMP12	3LK8	-10.52	-32.46	-39.54	4.87	0.00	2.21
010-MMP12	3N2U	-10.71	-21.46	-44.42	20.34	0.00	2.61
010-MMP12	3N2V	-10.25	-35.75	-47.27	9.90	0.00	1.63
010-MMP12	3NX7	-11.09	-33.04	-41.28	5.96	0.00	2.27
010-MMP12	3RTS	-10.43	-26.75	-35.42	7.01	0.00	1.66
010-MMP12	3RTT	-10.64	-29.18	-38.41	7.45	0.00	1.78
010-MMP12	4GUY	-10.92	-28.18	-37.14	6.57	0.00	2.39
010-MMP12	5LAB	-11.42	-32.45	-41.31	5.59	0.00	3.27
010-MMP12	6RD0	-6.49	-9.90	-16.64	5.01	0.00	1.73
010-MMP12	6RLY	-6.50	2.32	-9.00	9.49	0.00	1.83
