Target,Ligand,dG_experiment,Score,dG_int,dG_conf(L),dG_H+,-TS,E_crest_xtb_Eh,E_020_xtb_Eh,Delta_xtb_kcal,E_crest_pm6_kcal,E_020_pm6_kcal,Delta_pm6_kcal,S_conf_crest,Minus_TS_kcal,GFN2_S_conf,Minus_TS_gfn2_kcal,Delta_gfn2_xtb_kcal,GFN2_crest_xtb_energy,Charge,No_solvent_gfn2_ts,High_temp_ts,001_protonated_sconf,001_protonated_ts,001_protonated_no_solvent,Delta_gfn2_xtb_protonated,Delta_pm6_on_gfn2,Partially_opt_energy,TS_nrb
002-HIV-PR,1HXW,-14.86,-55.63,-67.81,8.39,0.0,3.8,-17.593782231518,-17.568808026053,-15.671538697136658,-166.7777452349165,-159.27039153784233,-7.507353697074166,12.89879,3.8457742385,,,,,0.0,,,,,,,,3.464817592587764,22
002-HIV-PR,1IZH,-14.66,-48.23,-61.92,10.55,0.0,3.14,-18.081807073568,-18.048244138231,-21.06104399038703,-341.45244110548043,-329.7246806931289,-11.727760412351529,6.95814,2.074569441,,,,,0.0,,,,,,,,2.8240498623733856,23
002-HIV-PR,1T3R,-15.48,-53.22,-64.07,7.75,0.0,3.11,-13.127213283262,-13.112675863481,-9.122361749355518,-304.27693936287164,-304.7651743462708,0.4882349833991384,10.816086,3.2248160408999995,,,,,0.0,,,,,,,,3.4171697550730755,13
002-HIV-PR,2Q54,-12.37,-41.19,-56.27,11.79,0.0,3.29,-17.051231425453,-17.028652380576,-14.16855387172266,-300.005882684516,-293.5469091773519,-6.458973507164103,5.911312,1.7624576727999997,,,,,0.0,,,,,,,,7.188431356007129,18
002-HIV-PR,2Q55,-11.93,-43.02,-59.39,13.57,0.0,2.81,-17.158190961207,-17.143293830481,-9.348083604742763,-251.7616460825264,-251.1534399810296,-0.608206101496819,11.813809,3.5222871533499998,,,,,0.0,,,,,,,,7.619095993161693,16
002-HIV-PR,2Q5K,-14.75,-49.69,-63.28,10.28,0.0,3.32,-16.914305909624,-16.901577979715,-7.986890569267491,-215.52464102044763,-213.45388480373165,-2.0707562167160063,12.494712,3.7252983828,,,,,0.0,,,,,,,,5.3414970093227225,17
002-HIV-PR,3EKX,-13.94,-35.27,-56.0,17.44,0.0,3.29,-13.544989804951,-13.52829238604,-10.477780643422047,-102.02014870046122,-97.9227090080434,-4.097439692417822,6.118548,1.8242450862,,,,,1.0,,,,,,,,10.77817222706942,12
002-HIV-PR,3EL1,-14.58,-59.7,-74.48,10.7,0.0,4.08,-18.378741338729,-18.355589258764,-14.528138546758033,-287.2586861449983,-268.5248265039927,-18.73385964100561,11.784453,3.51353466195,,,,,0.0,,,,,,,,4.1284132394698645,22
002-HIV-PR,3NU3,-13.38,-48.18,-57.09,5.8,0.0,3.11,-12.263317979619,-12.248429507658,-9.342650151774636,-262.63346493854004,-256.3353862702475,-6.298078668292533,12.069458,3.5985089026999995,,,,,0.0,,,,,,,,1.7631629569166307,13
002-HIV-PR,3OXC,-14.27,-49.44,-71.5,19.08,0.0,2.97,-16.719889121937,-16.704268888426,-9.801837110254692,-125.70492366076309,-128.4967827977089,2.791859136945831,11.102636,3.3102509234,,,,,1.0,,,,,,,,9.67350196640244,16
002-HIV-PR,model13a,-12.45,-39.61,-55.3,12.65,0.0,3.04,-16.128455921393,-16.107225479711,-13.322293229430382,-259.22272362673687,-254.65205467997225,-4.570668946764613,5.326479,1.58808971385,,,,,0.0,,,,,,,,7.383687120612251,17
002-HIV-PR,model13c,-11.9,-40.94,-54.77,10.79,0.0,3.04,-16.067658525669,-16.049136285633,-11.6228723227497,-349.946611847836,-345.98654704858046,-3.96006479925552,6.610676,1.9709730494,,,,,0.0,,,,,,,,6.664718203301504,17
002-HIV-PR,model13d,-11.78,-40.04,-54.44,11.33,0.0,3.08,-16.556671197408,-16.541655627903,-9.422405004512797,-414.716058494678,-417.5178539085956,2.801795413917546,10.803304,3.2210050876,,,,,0.0,,,,,,,,5.527019293054536,18
002-HIV-PR,model16a,-11.11,-33.56,-48.64,12.25,0.0,2.83,-16.717444066839,-16.703115958031,-8.991017230000287,-211.8345441053409,-209.01365028211168,-2.820893823229284,8.399311,2.50425457465,,,,,0.0,,,,,,,,7.352336216060337,16
002-HIV-PR,model16e,-10.23,-35.74,-50.0,11.12,0.0,3.14,-17.645659196614,-17.62623247488,-12.190442728582736,-260.1593270545981,-249.3483722782224,-10.810954776375752,6.77819,2.0209173485,,,,,0.0,,,,,,,,5.461998958103948,17
002-HIV-PR,model16f,-10.16,-31.93,-48.96,13.89,0.0,3.14,-17.643674173323,-17.628827814709,-9.3162236475132,-258.5288225237864,-252.19655316102885,-6.3322693627575575,11.412891,3.40275345165,,,,,0.0,,,,,,,,6.959679603460245,17
002-HIV-PR,model22a,-11.17,-32.96,-45.99,10.2,0.0,2.83,-16.71918703582,-16.704097425912,-9.468866023758762,-211.4174183744772,-206.1757448617827,-5.241673512694462,8.25831,2.4622151265,,,,,0.0,,,,,,,,5.857052777607521,16
002-HIV-PR,model22d,-10.52,-36.74,-49.37,9.76,0.0,2.87,-17.156827291362,-17.140047508392,-10.529464831720366,-377.6021621624252,-369.0376486502695,-8.564513512155713,7.64563,2.2795445845,,,,,0.0,,,,,,,,4.088743192450181,17
002-HIV-PR,model23a,-8.49,-26.23,-41.4,13.41,0.0,1.75,-16.258091042323,-16.242530158869,-9.764594415336347,-243.64649022715025,-240.69753667853868,-2.94895354861157,6.267741,1.86872697915,,,,,0.0,,,,,,,,7.374903852724259,15
002-HIV-PR,model25d,-10.14,-39.63,-48.5,6.94,0.0,1.93,-16.116281027064,-16.099289825786,-10.662131722758469,-370.6092036616767,-363.21029190761294,-7.398911754063761,7.289379,2.17332834885,,,,,0.0,,,,,,,,2.1306757832112453,17
003-CK2,1F0Q,-7.85,-8.1,-10.52,1.26,0.0,1.16,-6.190213071843,-6.179367763422,-6.805528641953052,-182.2320011056941,-176.26301946263433,-5.968981643059777,0.0,0.0,0.5479488,0.4084273368,-5.172198329159751,-36146.09638011526,0.0,,,,,,,-5.52504753736568,0.1364994076010361,0
003-CK2,1J91,-8.78,-26.61,-27.98,0.85,0.0,0.52,-2.813783279259,-2.813787670433,0.0027555012055494,86.11613979422262,86.12351015202779,-0.007370357805172,0.0,0.0,,0.0,0.0028529313867916,-24122.258506925587,0.0,,,,,,,-0.0001371520277899,0.0517167033633256,0
003-CK2,1M2P,-8.38,-16.59,-18.99,1.4,0.0,1.01,-6.012397575007,-6.001672888447,-6.729837338579407,-126.5560930937652,-121.397366873087,-5.15872622067819,0.0,0.0,1.1077256,0.8256709690999999,-4.300909418864779,-38152.744498577325,0.0,,,,,,,-5.407316126912988,-0.0085891497961512,1
003-CK2,1M2Q,-8.37,-12.44,-15.57,2.13,0.0,1.01,-5.725221910073,-5.714602249143,-6.663932810523786,-145.02201354111284,-139.7117458434951,-5.310267697617746,0.0,0.0,0.0006964,0.0005190791499999,-0.021018426504237,-36824.48512381715,0.0,,,,,,,-0.0284611565049033,0.2278111808002734,1
003-CK2,1M2R,-8.86,-30.2,-33.16,2.45,0.0,0.51,-6.308446219334,-6.308435929651,-0.0064568686895688,-134.6516853815958,-134.6471309114449,-0.0045544701509072,0.001066,0.0003178279,,0.0,-0.0162079512971782,-35923.47711551887,0.0,,,,,,,-0.0283960885550982,0.2516881577138861,0
003-CK2,1ZOE,-10.09,-29.96,-32.14,0.14,0.0,2.04,-4.254208252397,-4.254218968966,0.0067247434961904,60.77395682951661,61.48811282980774,-0.7141560002911334,,,0.1775808,0.1323642888,0.0102088090043675,-30125.59227332445,0.0,,,,,,,-0.5906298298077388,-0.5983330147468635,1
003-CK2,1ZOG,-9.82,-35.55,-37.86,0.64,0.0,1.66,-3.539054889095,-3.53899301089,-0.0388291305412955,64.54032090355518,62.9579840228232,1.5823368807319866,3.6914,1.10059091,0.030254,0.0225505752499999,-3.0133541930590604,-28005.964606640613,0.0,,,,,,,1.861256977176808,0.0365447439239545,1
003-CK2,1ZOH,-9.61,-37.62,-38.14,-0.63,0.0,1.16,-4.492686309527,-4.492687433659,0.000705402947144,71.25191292237157,72.47543460899583,-1.2235216866242524,,,,0.0,-0.0014914602552801,-31477.126046227448,0.0,,,,,,,-1.19803860899583,-1.221017550428286,0
003-CK2,2OXD,-9.37,-30.4,-31.88,0.96,0.0,0.52,-3.219210944044,-3.219260104898,0.0308488783324609,-8.545417319722912,-8.543056376804982,-0.0023609429179298,0.0,0.0,,0.0,0.0091255508880426,-26552.351814856105,0.0,,,,,,,-0.0155806231950172,0.1656617244657834,0
003-CK2,2OXX,-9.2,-26.67,-28.52,1.33,0.0,0.52,-3.154699232425,-3.154731814833,0.020445754261723,46.15594402366354,46.16085060385645,-0.0049065801929089,0.0,0.0,,0.0,0.0130656083616369,-26025.917992444138,0.0,,,,,,,-0.0062656038564554,0.0729273829327965,0
003-CK2,2OXY,-8.95,-30.65,-31.77,0.61,0.0,0.52,-3.013342509311,-3.013351268253,0.0054963149355672,53.61610127801236,53.62547586583544,-0.0093745878230819,0.0,0.0,,0.0,-0.0052765424575906,-23979.967322870045,0.0,,,,,,,-0.0080668658354383,0.0553534382952491,0
003-CK2,3KXG,-10.05,-37.73,-38.67,0.42,0.0,0.52,-2.940039070205,-2.940036624345,-0.001534799162935,64.84781669720716,64.84107741190675,0.0067392853004122,,,,0.0,-0.0175318020131429,-26205.41363747002,0.0,,,,,,,0.0087245880932442,0.0676149291822696,0
003-CK2,3KXH,-9.06,-28.44,-32.85,1.88,0.0,2.53,-6.466912881735,-6.466914819175,0.0012157610366739,-128.2339415599755,-124.25353626482556,-3.98040529514995,0.0,0.0,,,,,-1.0,,,,,,,,-1.5216368603164057,3
003-CK2,3KXM,-9.0,-23.54,-31.21,5.08,0.0,2.59,-5.257656717582,-5.256383207527,-0.7991390211031929,17.300669873490328,16.438520415607805,0.8621494578825235,8.200321,2.4449257061500003,,,,,0.0,,,,,,,,3.5590349812655617,4
003-CK2,3KXN,-10.49,-39.11,-40.14,0.51,0.0,0.52,-2.931639861888,-2.931634537954,-0.0033408165006087,113.42317863601257,113.41498635307887,0.0081922829336775,0.0,0.0,,0.0,-0.014942399298814,-23298.30052744637,0.0,,,,,,,0.0045386469211052,0.1326455975401472,0
003-CK2,3PVG,-8.06,-16.28,-38.92,5.38,15.96,1.3,-4.074478582772,-4.074514528093,0.0225560124357634,-33.99124842157753,-34.120926033496666,0.1296776119191349,,,,,,,0.0,,,,,,,,3.887503183436234,2
004-AR,1US0,-9.56,-29.26,-37.43,6.28,0.0,1.9,-8.048284182815,-8.048260082108,-0.0151234105487842,-279.2247936749074,-279.13965966031344,-0.0851340145939616,8.644582,2.5773821233,2.7332084,2.03726521115,-0.6456729771671834,-45281.3273474102,-1.0,,,,,,,-1.0244673396865664,3.085280229066996,7
004-AR,2IKG,-8.46,-25.43,-31.53,4.55,0.0,1.55,-7.272863830402,-7.272732799228,-0.0822232409655216,-174.92416722432517,-174.80210637227114,-0.1220608520540054,11.766387,3.50814828405,2.6963956,2.00982587035,-0.4208088381081989,-37742.6928786697,-1.0,,,,,,,2.4418423722711395,2.4999544420608686,6
004-AR,2IKH,-7.48,-20.34,-26.28,4.15,0.0,1.8,-5.762921920645,-5.759596761816,-2.086567091626945,-182.94196951355735,-180.9484734424205,-1.9934960711368603,7.51265,2.2398965975,1.1805808000000002,0.8799754138,-2.308068738772554,-35037.37836837482,-1.0,,,,,,,-0.2461845575794825,0.7968066829267002,5
004-AR,2IKI,-10.21,-35.64,-41.83,4.36,0.0,1.84,-8.065403131461,-8.06363522638,-1.1093763494729494,-294.5878444305877,-294.81000329880214,0.2221588682144215,9.620447,2.86833627305,2.0431192,1.5228899737,-2.989267177895421,-45689.63903356164,-1.0,,,,,,,-0.7977077011978508,1.5102088864206848,7
004-AR,2IKJ,-10.09,-35.06,-40.95,3.97,0.0,1.92,-8.616103917312,-8.616132832471,0.0181445225086859,-261.0382822156043,-261.1115218369001,0.0732396212958406,10.622297,3.16703785055,2.4556084,1.83034911115,-4.258570693871626,-47357.287802485975,-1.0,,,,,,,0.051353836900148,0.9961133149540728,8
004-AR,4LAU,-9.95,-31.41,-38.08,4.84,0.0,1.84,-8.087569363425,-8.085425594641,-1.345234205879209,-248.7126089210492,-248.9947570531112,0.2821481320620478,9.766417,2.91185722855,2.76623,2.06187868625,-1.814072870241017,-43036.01561011483,-1.0,,,,,,,-0.2830339468887928,1.8984781573001044,7
004-AR,4LAZ,-9.36,-31.56,-38.7,5.3,0.0,1.84,-8.062887384613,-8.060830409223,-1.2907705700031922,-234.689062335854,-235.08462652259453,0.3955641867405575,10.089654,3.0082303400999995,2.4992736000000004,1.8628960596,-2.335526939996122,-42865.50656640571,-1.0,,,,,,,-0.4946734774054562,2.207024662538686,7
004-AR,4LB3,-10.73,-36.26,-43.03,4.94,0.0,1.84,-8.042040468786,-8.040382299603,-1.0405160858556988,-280.41630626754375,-280.7038168620988,0.2875105945550444,9.942051,2.96422250565,2.3953732,1.7854512989499998,-2.918978375606754,-45519.37464611803,-1.0,,,,,,,-0.8840541379012166,2.066983890107963,7
004-AR,4LB4,-10.46,-36.76,-43.49,4.89,0.0,1.84,-7.91019890042,-7.910113733651,-0.0534429140483166,-420.63244135209305,-419.8744933106738,-0.7579480414191835,9.35364,2.788787766,1.434126,1.06896166725,-4.615978689529047,-53629.52962366607,-1.0,,,,,,,2.5154613106738566,1.7420885376598108,7
004-AR,4LBR,-9.56,-36.38,-43.38,5.16,0.0,1.84,-8.007121468845,-8.007125157706,0.0023147934771066,-325.13319775768844,-324.33029975640443,-0.8028980012840066,9.329618,2.7816256067,1.5783476,1.1764608423499998,-2.5515897526584257,-48170.68216541359,-1.0,,,,,,,1.737640756404403,1.8283021132348267,7
004-AR,4LBS,-9.64,-35.35,-41.88,4.69,0.0,1.84,-8.029000688929,-8.028983785167,-0.0106072627893652,-339.4231639436143,-338.465775592946,-0.9573883506683956,9.207903,2.74533627945,1.69015,1.2597955562499998,-2.7761586801056706,-48340.93306158877,-1.0,,,,,,,1.8732375929459408,1.527828561673516,7
004-AR,4QXI,-9.59,-30.45,-36.53,4.55,0.0,1.53,-8.481855688521,-8.480281613938,-0.987745967503166,-302.43811133512605,-302.74456102077016,0.306449685644111,10.896953,3.24892653695,3.687424800000001,2.7485142603,-1.4146253207770532,-45602.34289081416,-1.0,,,,,,,-0.7194579792298441,1.6235194268354007,7
004-AR,4XZH,-9.66,-29.61,-34.69,3.28,0.0,1.8,-7.762141814473,-7.760194564132,-1.2219171142304754,-273.1012489352883,-271.5117067020544,-1.5895422332339422,9.440844,2.8147876386,1.3117088,0.9777149468,-4.493693180641818,-44228.56404263482,-1.0,,,,,,,4.252643702054343,0.6202436110570488,5
004-AR,4XZI,-6.88,-26.26,-33.55,4.84,0.0,2.45,-7.74458487209,-7.731580047618,-8.160644399599983,-271.84741543386707,-272.1853303012869,0.3379148674198404,1.964173,0.5856181799499999,1.1634964,0.8672411291499998,-14.552133646290702,-48651.20354076939,-1.0,,,,,,,9.564406301286908,1.612292672082333,5
005-Cath-D,6QBG,-13.07,-55.16,-63.49,6.14,0.0,2.19,-14.760355714221,-14.737935977672,-14.068586462125731,-229.9819431361773,-216.996379798194,-12.985563337983336,13.645853,4.06851107195,,,-9.403897492523813,-73843.51777870975,0.0,,,,,,,-11.380345201805994,2.890563051235404,3
005-Cath-D,6QBH,-12.22,-53.95,-62.86,6.67,0.0,2.23,-13.528551197147,-13.512789676242,-9.89049622157477,-280.30141528020494,-271.05276766566675,-9.248647614538186,13.462104,4.0137263076,,,,,0.0,,,,,,,,2.9204541307203726,3
005-Cath-D,6QCB,-11.72,-55.33,-62.8,5.28,0.0,2.19,-13.369845548003,-13.349429579013,-12.811204284945408,-240.90906429975112,-230.68396845644253,-10.225095843308594,15.162658,4.520746482699999,4.0345276,3.00723600985,-10.710342429737487,-67821.94671908599,0.0,,,,,,,-5.692535543557483,1.206232092687543,3
005-Cath-D,model08,-10.25,-53.08,-59.72,5.04,0.0,1.6,-12.476774733377,-12.458381244585,-11.542079758379325,-230.2545282558408,-225.162077020036,-5.092451235804788,12.952546,3.8618015899,4.2608208,3.1759093038,-9.776221277342003,-63848.91047260425,0.0,,,,,,,-6.837514979964027,1.1386282979399596,2
005-Cath-D,model22,-9.65,-46.57,-57.88,9.12,0.0,2.19,-14.387117603724,-14.359724714985,-17.18928421972201,-230.67557341443825,-217.90785798556772,-12.767715428870474,14.267611,4.25388821965,5.8802716,4.38300744385,-11.964035476497624,-72679.09413290149,0.0,,,,,,,-8.557809014432252,4.27737265351962,3
005-Cath-D,model24,-8.95,-52.83,-59.25,4.23,0.0,2.19,-12.509503114015,-12.487531805165,-13.787194045154918,-220.8540166153234,-211.6024502215275,-9.251566393795883,13.770555,4.10569097325,5.382639600000001,4.01208499185,-10.009006792580273,-66705.93241924913,0.0,,,,,,,-4.441789778472497,0.7337904445124934,3
005-Cath-D,model25,-12.71,-57.81,-64.61,5.48,0.0,1.32,-14.527736641083,-14.505530861049,-13.934326823355084,-209.95393920067863,-197.62814911056395,-12.32579009011468,14.770512,4.4038281528,,,-11.43013990439977,-73360.10570537073,0.0,,,,,,,-13.63334688943604,1.1373037332317892,4
005-Cath-D,model31,-9.07,-48.5,-58.92,8.77,0.0,1.66,-13.076986842028,-13.054308385555,-14.2309355429162,-289.087345026204,-274.9732011747678,-14.11414385143621,11.269626,3.3600389919,3.8622196,2.87880193435,-14.415327164984344,-68389.49612242474,0.0,,,,,,,-11.951347825232231,3.60657126183753,3
005-Cath-D,model35,-8.75,-47.39,-58.65,9.02,0.0,2.23,-12.603054840443,-12.58418049856,-11.843819400659706,-378.8195272673855,-371.2614797882097,-7.558047479175798,11.716915,3.49339820725,4.7560932000000005,3.54507296895,-10.450931626680791,-72070.04550683152,0.0,,,,,,,-6.284316211790269,2.3838607129723077,3
005-Cath-D,model36,-8.24,-39.31,-45.68,4.19,0.0,2.19,-13.220221037032,-13.200281589089,-12.512183039263402,-196.38692068094957,-186.02581240259636,-10.361108278353214,12.689789,3.78346059035,,,-8.620078134150756,-65269.686982355546,0.0,,,,,,,-8.441574597403672,0.9490071204451452,3
006-BACE1-D3R,5QCO,-11.46,-40.36,-53.44,10.26,0.0,2.82,-14.422604846873,-14.409742984465,-8.070934417781757,-38.2485372421564,-27.23405102412583,-11.014486218030571,12.248933,3.65201937395,,,-12.54971535155614,-76651.20023660087,1.0,,,,,,,-7.612385975874172,3.4723015314931978,7
006-BACE1-D3R,5QCP,-10.67,-42.87,-52.08,6.23,0.0,2.98,-14.012119613606,-13.986697412237,-15.952660158860084,-131.86749458647972,-132.0266306566064,0.1591360701266921,13.340538,3.9774814047,,,-13.323278951949352,-78266.68977892914,1.0,,,,,,,-7.606548343393598,1.6626828290789604,9
006-BACE1-D3R,5QCR,-8.81,-36.37,-52.77,13.03,0.0,3.38,-13.465804884935,-13.439527457195,-16.48932240369978,-183.3522632737196,-178.95247412881648,-4.399789144903082,17.197645,5.12747785675,,,,,,,,,,,,,7.099974054509403,18
006-BACE1-D3R,5QCT,-11.12,-39.73,-53.37,10.36,0.0,3.28,-14.386856224174,-14.377622190272,-5.794439379810435,-261.1392866269958,-258.1208542831571,-3.018432343838697,12.69368,3.784620692,,,,,,,,,,,,,4.578483350171496,11
006-BACE1-D3R,5QCU,-9.45,-35.02,-47.01,9.03,0.0,2.96,-12.650154912428,-12.638194068225,-7.505537384980974,-277.8457737387443,-276.49622328514744,-1.349550453596862,10.668014,3.1806683741,,,,-66915.28433630751,,,,,,,,0.0098912851474324,6.000826105806993,8
006-BACE1-D3R,5QCV,-10.7,-36.91,-48.17,8.42,0.0,2.85,-12.786389034731,-12.769796285506,-10.412099473430237,-92.643165606328,-86.63040375965404,-6.012761846673953,12.570721,3.74796046615,,,-10.84348043445403,-69963.80550312818,1.0,,,,,,,-3.926660240345953,2.793904409419582,6
006-BACE1-D3R,5QCX,-10.95,-38.86,-52.24,10.43,0.0,2.95,-13.0367468605,-13.022119857231,-9.178576194325888,-51.85096437960964,-45.66211085209184,-6.1888535275178,13.952776,4.1600201644,,,-9.735565089709024,-69395.11613822273,1.0,,,,,,,-4.369116147908166,4.320057909611023,7
006-BACE1-D3R,5QCY,-12.35,-46.88,-64.69,14.7,0.0,3.11,-16.639058456047,-16.621926817775,-10.750257200423148,-36.114324438527255,-25.05673323307961,-11.057591205447649,15.548757,4.63586189955,,,,,1.0,,,,,,,-9.601559766920392,6.660913112242174,9
006-BACE1-D3R,5QCZ,-7.39,-32.61,-46.84,11.71,0.0,2.53,-12.048234379994,-12.030206089897,-11.312914290478316,-145.40966244602802,-147.5451882404918,2.135525794463774,11.202271,3.33995709865,,,-10.25709186704692,-71072.53852031125,1.0,,,,,,,-1.7864907595082116,6.250809836686074,6
006-BACE1-D3R,5QD0,-9.2,-29.52,-46.4,13.99,0.0,2.89,-11.833629485395,-11.809616589212,-15.068308470898536,-104.71668601436456,-97.21393357765076,-7.502752436713806,11.760957,3.50652932955,,,,,1.0,,,,,,,-8.121306422349235,1.7195874563320783,7
006-BACE1-D3R,5QD1,-8.99,-36.49,-48.65,9.07,0.0,3.09,-13.318518676646,-13.298497324678,-12.5635785520885,-92.10701000394909,-85.64438063048023,-6.462629373468857,14.168467,4.22432843605,,,,,1.0,,,,,,,-6.202175369519779,3.920420614056212,8
006-BACE1-D3R,5QD2,-10.22,-37.74,-46.03,5.4,0.0,2.9,-13.523900308269,-13.505200491619,-11.734303246225323,-96.00979626478367,-90.74647455323344,-5.263321711550262,14.349077,4.278177307549999,,,-12.790843128306207,-74368.46650739177,1.0,,,,,,,-7.152163446766579,0.956303677367444,8
006-BACE1-D3R,5QD3,-10.07,-38.8,-51.36,9.47,0.0,3.09,-13.608599127224,-13.590836911168,-11.145950435085084,-52.17742244313138,-50.40694385296166,-1.7704785901697235,16.168919,4.820763199849999,,,,,1.0,,,,,,,-4.605484147038339,3.7770187308275567,8
006-BACE1-D3R,5QD5,-10.72,-37.53,-48.76,8.53,0.0,2.7,-12.058513347986,-12.038560217389,-12.520769027793424,-42.59621072708898,-42.83162083845804,0.2354101113690632,12.434936,3.7074761684,,,-11.838729808818853,-68774.23488716877,1.0,,,,,,,-5.655818161541959,2.315173818031667,6
006-BACE1-D3R,5QD9,-11.57,-42.11,-55.39,10.13,0.0,3.14,-13.627632999489,-13.604599882199,-14.453488397530482,-93.1324200697208,-88.31678279918496,-4.815637270535831,12.643162,3.7695587503,,,-10.45287647097075,-73858.9530907446,1.0,,,,,,,-12.308679200815035,2.396865189195424,6
006-BACE1-D3R,5QDA,-11.54,-38.66,-48.28,6.79,0.0,2.82,-12.975184574203,-12.954244147678,-13.140306108276052,-11.184155302467154,-5.955108823930546,-5.229046478536608,14.108523,4.20645613245,,,-13.397283059948473,-69624.64119900508,1.0,,,,,,,-5.781665176069454,1.9257722119412448,7
007-JAK1,4E4L,-12.04,-22.11,-28.97,4.56,0.0,2.3,-7.896984842649,-7.887503969162,-5.949333440953881,-40.90534189956908,-37.88482239980061,-3.020519499768469,3.498618,1.0431129566999997,1.8623488,1.3881482367999998,-2.5997421533801512,-42617.69101610613,0.0,,,,,,,-2.967786600199389,1.2875624628844804,2
