Target,Ligand,NumRotors,NumMethyl,Ring,SG,HBond,PiStack,ConfEntropy
008-Trypsin,5MO2,1,0,3.0,0,0.0,0.0,2.924426
008-Trypsin,6SY3,9,0,2.0,2,1.0,0.0,6.789031
008-Trypsin,6T0M,8,0,2.0,2,4.0,0.0,9.837011
008-Trypsin,6T0P,8,0,2.0,2,4.0,0.0,9.957483
008-Trypsin,6T5W,8,0,2.0,2,1.0,0.0,11.350092
009-CDK2,3QQK,5,0,0.0,0,1.0,2.0,6.744063
009-CDK2,3QTQ,5,0,0.0,0,1.0,2.0,7.28147
009-CDK2,3QTR,4,0,0.0,0,1.0,2.0,2.75177
009-CDK2,3QTS,5,1,0.0,0,1.0,2.0,6.23528
009-CDK2,3QTU,6,0,0.0,0,1.0,2.0,8.995548
009-CDK2,3QTW,4,0,0.0,0,1.0,2.0,3.555915
009-CDK2,3QTX,6,0,0.0,0,1.0,2.0,7.677326
009-CDK2,3QTZ,5,0,0.0,0,1.0,2.0,6.920569
009-CDK2,3QU0,5,0,0.0,0,1.0,2.0,6.368239
009-CDK2,3QXP,6,0,0.0,0,1.0,2.0,6.070048
009-CDK2,3R8U,5,0,0.0,0,1.0,2.0,7.865584
009-CDK2,3R8V,6,0,0.0,0,1.0,2.0,8.485135
009-CDK2,3R8Z,5,0,0.0,0,1.0,2.0,6.790716
009-CDK2,3R9D,6,0,0.0,1,2.0,3.0,6.777361
009-CDK2,3R9N,5,0,3.0,0,1.0,2.0,5.552033
009-CDK2,3RAH,4,0,3.0,0,1.0,2.0,5.517029
009-CDK2,3RAK,5,0,0.0,0,1.0,2.0,5.265543
009-CDK2,3RAL,6,1,0.0,0,1.0,2.0,8.87724
009-CDK2,3RJC,4,0,0.0,0,1.0,2.0,4.10182
009-CDK2,3RK5,5,0,0.0,1,3.0,2.0,4.097768
009-CDK2,3RK7,5,0,0.0,1,3.0,2.0,5.594742
009-CDK2,3RK9,4,2,0.0,0,1.0,2.0,4.717011
009-CDK2,3RKB,4,0,3.0,0,1.0,2.0,4.637828
009-CDK2,3RMF,5,0,0.0,0,1.0,2.0,6.915047
009-CDK2,3RNI,5,0,0.0,0,1.0,2.0,7.5116
009-CDK2,3RPV,5,0,0.0,0,2.0,2.0,7.522497
009-CDK2,3RPY,4,0,0.0,1,1.0,0.0,5.004804
009-CDK2,3S00,5,0,0.0,0,1.0,2.0,5.32368
009-CDK2,3S0O,5,0,0.0,0,1.0,2.0,4.714402
009-CDK2,3S1H,6,1,0.0,0,1.0,2.0,7.289121
009-CDK2,3SQQ,5,1,0.0,0,1.0,2.0,7.093482
010-MMP12,3EHX,7,2,0.0,1,2.0,0.0,
010-MMP12,3EHY,5,2,0.0,1,2.0,0.0,7.79338
010-MMP12,3F15,9,1,0.0,1,3.0,0.0,
010-MMP12,3F16,7,1,0.0,1,4.0,0.0,10.638083
010-MMP12,3F17,6,0,0.0,1,2.0,0.0,8.219808
010-MMP12,3F18,7,0,0.0,1,4.0,0.0,10.302912
010-MMP12,3F19,5,0,0.0,1,2.0,0.0,6.706526
010-MMP12,3F1A,5,0,0.0,1,2.0,0.0,7.024374
010-MMP12,3LK8,6,1,0.0,1,2.0,0.0,8.780965
010-MMP12,3N2U,11,1,3.0,1,1.4,0.0,
010-MMP12,3N2V,8,0,0.0,1,4.0,0.0,
010-MMP12,3NX7,8,1,0.0,1,4.0,0.0,12.784266
010-MMP12,3RTS,7,0,0.0,1,2.0,0.0,10.223603
010-MMP12,3RTT,6,0,2.0,1,0.0,0.0,7.724459
010-MMP12,4GUY,8,1,0.0,1,2.0,0.0,12.231429
010-MMP12,5LAB,8,3,0.0,1,0.0,0.0,12.017358
010-MMP12,6RD0,6,0,0.0,1,0.0,6.0,6.705814
010-MMP12,6RLY,7,0,0.0,1,0.0,6.0,
